Building ID,Market,Street Address,City,State,Postal Code,Latitude,Longitude,On Zayo Network Status,Net Classification,Type,Network Proximity, Estimated Build Cost 
Bldg-081139,Denver,3600 S Beeler St,Denver,CO,80237,39.651296,-104.88067,On Zayo Network,Restricted,Office - Multi Tenant,780.09,"$35,802.70 "
Bldg-081140,Denver,860 Clermont St,Denver,CO,80220,39.730344,-104.934865,On Zayo Network,Restricted,Office - Multi Tenant,2232,"$79,360.00 "
Bldg-081143,Denver,1170 Galapago St,Denver,CO,80204,39.7346,-104.995444,Not on Zayo Network,Fiber Only,Cell Site,840,"$37,600.00 "
Bldg-081144,Denver,3168 W 14th Ave,Denver,CO,80204,39.7386,-105.0278,Not on Zayo Network,Fiber Only,Cell Site,100.66,"$16,929.70 "
Bldg-081145,Denver,110 16th St,Denver,CO,80202,39.741574,-104.987873,On Zayo Network,Fiber Only,Office - Multi Tenant,133.87,"$18,424.15 "
Bldg-081146,Denver,570 Santa Fe Dr,Denver,CO,80204,39.725489,-104.998346,Not on Zayo Network,Fiber Only,Cell Site,852.07,"$37,962.10 "
Bldg-081147,Denver,12075 E 45th Ave,Denver,CO,80239,39.77902,-104.84772,Not on Zayo Network,Fiber Only,Cell Site,244.05,"$23,382.25 "
Bldg-081148,Denver,4704 N Harlan St,Denver,CO,80212,39.7825815,-105.0615175,On Zayo Network,Fiber Only,Office - Multi Tenant,293.47,"$25,606.15 "
Bldg-081149,Denver,5335 W 48th Ave,Denver,CO,80212,39.784305,-105.054993,On Zayo Network,On-Net,Office - Multi Tenant,206.57,"$21,695.65 "
Bldg-081150,Denver,4120 E Evans Ave,Denver,CO,80222,39.6779,-104.9392,Not on Zayo Network,Stubbed,Cell Site,185.87,"$20,764.15 "
Bldg-081151,Denver,3601 S Monaco Pkwy,Denver,CO,80237,39.650609,-104.916591,On Zayo Network,Restricted,Cell Site,19.17,"$13,262.65 "
Bldg-081152,Denver,4570 E Yale Ave,Denver,CO,80222,39.667144,-104.935184,Not on Zayo Network,Fiber Only,Cell Site,2537.87,"$88,536.10 "
Bldg-081153,Denver,5400 S Parker Rd,Aurora,CO,80015,39.615751,-104.815627,Not on Zayo Network,Fiber Only,Cell Site,372.25,"$29,151.25 "
Bldg-081154,Denver,6055 Longbow Dr,Boulder,CO,80301,40.0653461,-105.2127064,On Zayo Network,Fiber Only,Office - Multi Tenant,386.18,"$29,778.10 "
Bldg-081155,Denver,15300 E Smoky Hill Rd,Aurora,CO,80015,39.631567,-104.809467,Not on Zayo Network,Fiber Only,Cell Site,190.31,"$20,963.95 "
Bldg-081156,Denver,8090 E Mississippi Ave,Denver,CO,80247,39.695872,-104.894675,Not on Zayo Network,Fiber Only,Cell Site,2787.65,"$96,029.50 "
Bldg-081157,Denver,10800 E Bethany Dr,Aurora,CO,80014,39.66291,-104.8622508,On Zayo Network,Fiber Only,Office - Multi Tenant,40.37,"$14,216.65 "
Bldg-081160,Denver,1164 S Josephine St,Denver,CO,80210,39.695068,-104.957689,Not on Zayo Network,Fiber Only,Cell Site,155.83,"$19,412.35 "
Bldg-081161,Denver,1221 S Clarkson St,Denver,CO,80210,39.69432,-104.978332,Not on Zayo Network,Fiber Only,Cell Site,169.98,"$20,049.10 "
Bldg-081163,Denver,8360 S Valley Hwy,Englewood,CO,80112,39.5617,-104.871,Not on Zayo Network,Fiber Only,Cell Site,19.17,"$13,262.65 "
Bldg-081227,Denver,16542 Keystone Blvd,Parker,CO,80134,39.532905,-104.796245,Not on Zayo Network,Fiber Only,Cell Site,252.04,"$23,741.80 "
Bldg-081209,Denver,9101 Pearl St,Denver,CO,80229,39.86171,-104.980182,Not on Zayo Network,Fiber Only,Cell Site,692.45,"$33,173.50 "
