uniqueID,Lat,Long,BuildCost,ProfitNPV,Industry,ProductGroup,BuildingType,NetStatus,isClosesd,isWon,StreetAddress
1616,32.7877,-96.7976,"17,795.40","17,910.04",Telecommunications,Ethernet,Office - Multi Tenant,On Zayo Network,null,null,2100 Ross Ave Dallas TX 75201
1617,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1618,32.7873,-96.7941,"15,880.20","14,086.61",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1619,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1620,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1621,32.8008,-96.8196,"26,388.00","62,903.00",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1622,32.8008,-96.8196,"26,388.00","67,691.75",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1623,32.8008,-96.8196,"26,388.00","37,988.15",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1624,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1625,32.8008,-96.8196,"26,388.00","33,875.40",Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1626,32.8008,-96.8196,"26,388.00","12,860.09",Telecommunications,IP Services,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1627,32.7783,-96.7986,"16,808.40","55,201.79",Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,400 S Akard St Dallas TX 75202
1628,32.7783,-96.7986,"16,808.40","216,591.63",Telecommunications,IP Services,Carrier Hotel,On Zayo Network,null,null,400 S Akard St Dallas TX 75202
1629,32.7992,-96.7788,"17,103.60","144,555.12",Telecommunications,IP Services,Office - Single Tenant,On Zayo Network,null,null,4316 Bryan St Dallas TX 75204
1630,32.7992,-96.7788,"17,103.60","279,287.92",Telecommunications,IP Services,Office - Single Tenant,On Zayo Network,null,null,4316 Bryan St Dallas TX 75204
1631,32.8008,-96.8196,"26,388.00","318,243.96",Media & Content,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
